category,catchment_range,political_segregation,num_places
ATM,9887.734389149573,0.33185199317273628,401
Academic Building,12839.988420282081,0.43351488312902448,409
Accessories,14792.789934151187,0.29649141752937402,526
Acupuncturist,11802.054194780447,0.42799906847479935,122
Administrative Building,14124.717865290646,0.3959142487813711,248
Adult Education Center,14376.048228255717,0.31757291461845433,3
Advertising Agency,17535.539055948291,0.37123285685090329,147
Afghan,12189.258293421142,0.40304472427922927,9
African,12341.255773822757,0.62201958773047894,20
Airport,24690.550773431489,0.31078882620453419,45
Airport Service,23814.600224322814,0.35176483679930359,8
American,14515.657046883825,0.33214478213102311,3238
Amphitheater,19351.881237119022,0.47679280568423615,3
Animal Shelter,12674.982202989317,0.38247799223498774,39
Antiques,16597.806655984587,0.35030267572610696,108
Apparel,13690.087921810269,0.35412084469057081,3827
Aquarium,24698.699280916662,0.30994448547590175,15
Arcade,15571.903840214698,0.36548593032868565,263
Arepas,12672.014219902338,0.47008137386798876,19
Argentinian,12037.826774008152,0.42889211447780257,43
Art Gallery,14730.752685015084,0.49185316565957887,659
Art Museum,18973.76102271229,0.45125947454045212,95
Arts,13407.004948258624,0.454165503394306,93
Arts & Crafts,11716.080988309652,0.31421046844195777,598
Arts & Entertainment,10304.91367613406,0.45285084491400196,15
Asian,13581.317775665775,0.36696676486260665,371
Astrologer,10434.154822672492,0.36620741088276626,12
Athletics & Sports,12644.745866361747,0.313005712983565,207
Auditorium,16784.099719187459,0.43163099515388881,53
Australian,13983.591153888125,0.51561593511627468,9
Auto Dealer,15839.943858505494,0.31163358244142797,3341
Auto Garage,12314.788988631728,0.25985271556854217,108
Auto Workshop,11093.547051524925,0.31755526280266394,36
Automotive,12843.067929127434,0.32523445725777028,6486
B & B,19889.110617505714,0.44521770773419606,65
BBQ,14794.173457860386,0.36294414987560109,410
Baby Store,14073.194883994314,0.34604778866623664,31
Bagels,12571.584196555043,0.33345914109456393,503
Baggage Claim,16100.273853923714,0.4843550681893064,1
Bakery,12988.741798991463,0.35882252748260907,1373
Ballroom,14154.939118546241,0.31500976101424233,3
Bank,11080.921043122029,0.33776843544940643,7058
Bar,14924.99126354595,0.43346605914399139,1649
Baseball,22234.561670381401,0.29784055467011095,40
Baseball Field,13759.918200032373,0.37555170536941401,57
Basketball,24166.985240278056,0.33559620813844748,41
Basketball Court,10859.0700178316,0.39817455538806568,44
Beach,25231.371991802807,0.32392512480677255,37
Beach Bar,18244.851330095335,0.37356969659986489,6
Beer Bar,15090.176819381768,0.40072066083433389,53
Beer Garden,14573.108498254833,0.48488191287687954,80
Beer Store,11550.081732842449,0.36474429972061884,50
Belgian,12523.680674338204,0.54745254126330256,11
Big Box Store,9755.4513237398478,0.32425783056692309,1202
Bike,17376.807542791117,0.57550600025341636,493
Bike Shop,13160.349957962915,0.35173988247102861,257
Bike Trail,12277.79359005299,0.47630213788479525,2
Billiards,11626.418714291278,0.37825346337523508,46
Bistro,11667.480495868618,0.31932837636514172,41
Board Shop,11066.981185699091,0.32542653543812605,73
Boarding,9438.1065780913577,0.57566730830552426,2
Boat / Ferry,18772.082289371228,0.38034755282079524,86
Boat Rental,15911.01715954907,0.24258314537326101,4
Bookstore,13291.500154372423,0.35049549751555342,480
Botanical Garden,20362.184198024584,0.37220360967595051,8
Boutique,15030.143909434408,0.34259212738319694,606
Bowling Alley,14174.775389414624,0.30546136359931059,225
Bowling Green,20043.18878618889,0.41932500945913515,3
Boxing Gym,13871.716635277071,0.41142748507139082,22
Brazilian,16894.667186076429,0.42390746521842904,67
Breakfast,12412.435578662757,0.379488581905714,791
Brewery,14911.540645325682,0.36316353154118569,312
Bridal,13453.166962921914,0.30095054842522762,167
Bridge,17337.983833281531,0.48193674979544404,21
Bubble Tea,14074.792765922914,0.4883434214343248,61
Buffet,19689.971014559393,0.31618936814284487,57
Building,15213.184397114743,0.36760537683976569,1876
Burgers,13285.508982753594,0.37233008652227656,1519
Burmese,8078.226553222612,0.71083487448612814,5
Burritos,16630.665365564215,0.48123955655818756,68
Bus,12560.261811844188,0.50097036840547959,135
Bus Station,19095.113747128111,0.48241847867548893,86
Bus Stop,16238.353158630371,0.5487610723684494,9
Business Center,16669.28900881841,0.28489873843227842,8
Business Services,13783.982663522274,0.27461796867337346,538
Butcher,12459.750457887607,0.32469049689843321,86
Cafeteria,10375.805875865746,0.43592351489521436,150
Café,13862.767959579314,0.44138165602488855,953
Cajun / Creole,16160.45985418998,0.37801457600083388,73
Cambodian,11051.347728095934,0.78412853502645341,1
Camera Store,13116.992807378803,0.34143198503223121,57
Campaign,14536.339394612487,0.42261524884272889,10
Campground,13217.352429293875,0.26866093623314041,12
Candy Store,17012.464250477438,0.37332214084234239,151
Cantonese,10999.670121660596,0.50172622608215067,5
Capitol Building,15854.125736952539,0.68018829582122431,3
Car Washes,11244.043282122178,0.331323996984979,365
Caribbean,12985.424546901228,0.61964521577859,174
Carpet Store,12901.887488026819,0.29438070119714771,78
Casino,21237.952148862154,0.34314402667372246,51
Castle,30300.78264581264,0.41210696959284088,2
Cheese Shop,15991.332556963816,0.4806109202838259,38
Chinese,13785.458104973015,0.37733658058912389,403
Chiropractors,12481.458817209314,0.29231360185124483,646
Chocolate Shop,18041.251722736408,0.31427910460121783,91
Christmas Market,15488.489623756461,0.45401497488353959,3
Cineplex,12708.872035928249,0.3372138266430495,82
Circus,22038.345340743406,0.50263925802580423,1
Circus School,15077.175202065962,0.43491891404712779,1
City,14642.039300257316,0.32091064273333031,28
City Hall,14985.935211608446,0.38144342434145523,36
Classroom,12421.071163562661,0.38302981475002645,103
Climbing Gym,13535.274073999972,0.42686408484121818,17
Club,13606.5354275679,0.44077131505928918,12
Cocktail,16529.136004704982,0.5462883197700491,278
Coffee Shop,11899.355314516752,0.39246225124379575,5713
College & Education,15146.988133344625,0.34898342000431043,17
College Bookstore,12685.325653528635,0.42088465784729528,271
Colombian,7362.2602511542018,0.55682031453382441,4
Comedy Club,17433.358493110292,0.47678767292071439,82
Comfort Food,13487.127644520478,0.35431503810179826,32
Comic Shop,12897.44402252353,0.41961866934121655,54
Communications,15080.204150169739,0.43116477046499108,24
Community Center,9012.0343788558093,0.52147131826582094,57
Community College,15986.044845514452,0.33879310752071823,92
Concert Hall,22296.093217182653,0.40830974924065605,91
Conference room,15865.952798147158,0.34831682067060493,44
Construction,17057.82647759296,0.27950514536765231,313
Convenience Store,12928.63903643113,0.35767838236474669,4493
Convention,23141.007901346071,0.14079146097431419,1
Convention Center,27691.629787649046,0.29661321820665354,69
Corporate Amenity,16265.696103098731,0.32809734649140448,1
Corporate Cafeteria,21608.196169585462,0.38145664790610317,6
Cosmetics,13407.742366170754,0.33035860105841991,1086
Costume Shop,11264.157173132347,0.40023543370267572,17
Country Dance Club,23668.015037161316,0.15106438347180381,3
Coworking Space,15568.51504418251,0.42602996054720094,469
Credit Union,13542.520396144255,0.31211372252638658,400
Creperie,13796.317003884113,0.32967195136256705,20
Cricket,5922.2106991725432,0.43193194328904883,1
Cruise,29249.694049755875,0.41174725036778614,5
Cuban,13221.985956211181,0.38767327554999587,101
Cultural Center,14880.340862435736,0.59760449101075319,10
Cupcakes,14582.329979193293,0.37546411584347539,91
Cycle Studio,14922.78978423897,0.44479246068215672,111
Dance Studio,12229.943637372264,0.38862325274517029,306
Deli / Bodega,13268.162088118253,0.32270779750173834,377
Department Store,12019.131246783505,0.32983515849888967,2031
Design,14490.854912432918,0.3823850243348646,458
Desserts,14102.70149422844,0.36822746274943458,388
Dim Sum,14895.0612479622,0.53239062043145391,23
Diner,12825.277962186179,0.37750552819893429,655
Discount Store,9215.3067422345684,0.412996177679472,3207
Distillery,14818.765968961277,0.45827871144266508,21
Distributor,17372.106362747316,0.34673809972480107,13
Dive Bar,11888.279457148785,0.54658893907153394,127
Dive Shop,12493.144482664979,0.33775733954565818,9
Dive Spot,9467.4831189827164,0.36649404568088745,3
Dog Run,11446.75754713264,0.46500520716543792,71
Donuts,12199.870496184383,0.33975683640103405,3509
Driving School,13470.437829076163,0.40009447096273976,29
Drugstore,9716.3637065328548,0.39952893535236661,41
Dry Cleaner,12285.811144738118,0.34572804445128358,117
Dumplings,20356.601179597372,0.53446413662223946,12
Duty-free,21702.958627705048,0.37084474670474715,7
Eastern European,12189.209506170559,0.41015892741155136,30
Electronics,13547.999344425803,0.33415353099670125,1286
Empanada,15398.687547388929,0.66689669025269982,7
Engineering,10316.114243835964,0.43557331373392655,32
English,27110.253365318396,0.55855329425317402,4
Entertainment,17715.690159604528,0.36947313504312845,710
Ethiopian,12314.565716593039,0.66278240312949488,26
Event Services,15080.907994207158,0.36332430741033855,41
Event Space,18299.30258580736,0.37682236856955481,548
Exhibit,22653.571674423169,0.47693322264021848,18
Fabric Shop,11391.609762374157,0.27367875276570774,179
Factory,16720.346265250293,0.39506985862195743,86
Fair,24557.491240590269,0.48018216625780685,4
Falafel,15298.600539124574,0.49682473627805118,33
Farm,26275.855157231803,0.27514651871413431,38
Farmer's Market,13406.144623092019,0.41881055425979136,96
Fast Food,12539.62548751199,0.36210551131781515,10304
Festival,18927.478440404775,0.37543846428086186,6
Field,15099.040272159144,0.45696883540351257,32
Film Studio,17986.110952359151,0.4642335011394057,6
Financial / Legal,11702.938367633784,0.33545482426488954,4843
Fireworks Store,12070.184749981234,0.31480101250375753,6
Fish & Chips,14727.707407013853,0.46102340114728407,17
Fish Market,12954.940359654927,0.43042858626773012,20
Fishing Spot,17071.87152936335,0.19677315143440124,2
Fishing Store,10071.230040659408,0.31839589221791326,7
Flea Market,18580.568961036024,0.33472706624940085,36
Flower Shop,12025.346317215073,0.3278036711230215,352
Food,12855.657923134708,0.41236991328918887,53
Food & Drink,10901.192349687326,0.34861622871538583,152
Food Court,16346.275946248872,0.41114627432794787,73
Food Service,15780.32969382794,0.29999613019412019,20
Food Truck,15535.769527198434,0.48356369540523642,181
Football,26658.050636280055,0.27009156037018256,39
Fountain,13034.000194615171,0.57928280343753358,10
Frame Store,12600.627156798389,0.47481744915617596,16
French,14822.572991660569,0.47397661187192508,296
Fried Chicken,12623.279275284021,0.45108728243332868,320
Fruit & Vegetable Store,9431.3344756333881,0.41466069804489936,11
Furniture / Home,13407.074805741833,0.30202005994108794,2591
Gaming Cafe,15167.185841527749,0.32181095573395568,23
Garden,16771.975627220792,0.45048269377797379,83
Garden Center,10939.609389818168,0.31241163681685996,108
Gas Station,13692.500487503754,0.3590678242419954,9217
Gastropub,14156.744053401997,0.43651058483479055,239
Gate,22027.078159682809,0.46823400300539003,6
German,15483.034419011954,0.41387539087543923,50
Gift Shop,17723.3977666582,0.32001926972206152,553
Gluten-free,16246.218536195796,0.3884803903159943,21
Go Kart,20341.508425526477,0.31574974986509668,15
Golf Course,15010.655101399219,0.25235556859868985,185
Golf Driving Range,20141.69317785481,0.33018817543887075,11
Gourmet,13966.62661236472,0.36958440946792143,149
Government,15530.987863233726,0.36835639114738117,228
Greek,15914.577236474246,0.36036574868488586,180
Grocery Store,8525.7932916261125,0.40011354316352093,2952
Gym,9654.2216970003738,0.37909161285330706,1445
Gym / Fitness,9015.5919968207745,0.36189060030515735,2618
Gymnastics Gym,12151.400053583842,0.33013191126432051,48
Halal,15235.076339893547,0.39349694359369197,16
Harbor / Marina,16465.620276788421,0.37175134221687545,96
Hardware,11442.650963155927,0.3119752977182923,3098
Hawaiian,13425.142322344165,0.5113407305359613,37
Health & Beauty,11767.354437501495,0.30116904074085843,299
Health Food Store,11281.67994216182,0.3216520153686156,79
Heliport,18102.062806986694,0.51812936555398448,4
Herbs & Spices Store,13535.888695875055,0.46245635843315763,14
Himalayan,13029.803171156254,0.53562483956500184,2
Historic Site,19233.35560651691,0.39157703495966917,48
History,9797.8509477086973,0.57318477453499828,7
History Museum,18568.064248987495,0.44329838523391579,116
Hobbies,14416.68345287203,0.29514540181690274,147
Hockey,24287.844141765025,0.22764109534777274,24
Home Services,14540.922629880755,0.3062114193227774,194
Hookah Bar,12303.735901377426,0.40626955048208618,103
Hostel,14594.613649459288,0.54474158521620808,16
Hot Dogs,17899.869955719398,0.39048201424145307,137
Hot Spring,20570.673761773647,0.38591305087409378,1
Hotel,20027.537065874356,0.3753260483482343,4025
Hotel Bar,21014.15595181227,0.41723109269648911,149
Hotpot,13039.300727575817,0.41236197713922962,21
Housing Development,11002.14020701839,0.62556596425066313,233
Hunan,13942.176988192699,0.6046138015229332,4
Hunting Supply,25586.283340676353,0.27218758029282686,8
IT Services,16024.606118706641,0.33759466762853108,144
Ice Cream,12254.524927279106,0.32321610274631596,2038
Indian,14196.271686136859,0.45316625057633736,370
Indian Chinese,7681.4495349514737,0.28962648824893555,2
Indie,16404.702825920656,0.55869458099370051,39
Indie Movies,13844.809382853738,0.51503580941128835,57
Insurance Office,12551.36397457864,0.34742326846571125,784
Internet Cafe,16957.618372013636,0.3533404650164475,5
Intersection,12415.479303203731,0.2655376821394459,2
Irish,14343.118361563689,0.4430360828017596,70
Israeli,12614.555640917775,0.60865424774532051,4
Italian,14464.619553418426,0.3468943545208541,1956
Japanese,14512.13111711614,0.40179335452860704,367
Jazz Club,14972.067060166553,0.54629961480032974,34
Jewelry,14228.599843577042,0.29317624860365482,991
Juice Bar,13942.244905993024,0.39318089919492494,546
Karaoke,13650.57422337459,0.44614598082403883,60
Kitchen Supply,15627.513122139466,0.31185068119208864,69
Knitting Supplies,12364.839111688343,0.4190291104854062,3
Korean,13862.885224846554,0.48063120305554691,127
Kosher,12770.62370235631,0.45461267112942122,22
Lab,11651.174091178305,0.42166467063487711,66
Laboratory,12170.113650843099,0.52075618366407483,4
Lake,12494.761435355214,0.32309787139872281,10
Landmark,16995.715433580601,0.50418007748678628,34
Laser Tag,14500.287421929064,0.22442234225221694,12
Latin American,13055.01870578641,0.43044757273758061,255
Laundromat,7556.6941078732707,0.56315711438828331,31
Laundry,9546.6372735991608,0.40364964723282493,292
Law School,14238.696126472298,0.56569111202345823,36
Leather Goods,14163.331790232254,0.37470835504203631,24
Library,10030.469319107278,0.46839813865518587,920
Light Rail,15821.392204768847,0.40332681915301016,37
Lighthouse,12820.454948428229,0.33102318569536121,1
Lighting,9899.7437476845025,0.38096600418355409,5
Lingerie,14326.911208507405,0.32018593724092692,365
Liquor Store,11920.411285907645,0.3232093029429231,582
Locksmith,12008.487207163271,0.38285594679536966,52
Lounge,19280.353549145766,0.47466753742797158,383
Luggage Store,17359.435219911422,0.31269490509688364,31
Mac & Cheese,14901.174721608357,0.35054812059194601,11
Malay,13348.212289978137,0.41323166896806557,11
Mall,14282.399448565715,0.35495063118525455,334
Market,10154.840662540173,0.35640262892882263,96
Martial Arts,11602.65029397193,0.32699153660375729,575
Math,10721.513874812174,0.39526697164797475,15
Mattress Store,11534.601486771584,0.2974184688904995,568
