cat,median,mean,std,count,se
Cultural Center,-0.094608497266729888,-0.11722650183677179,0.091492549986660163,10,0.028932484689465417
Park,-0.13287656167762268,-0.11135041909467638,0.12439821552593128,762,0.0045064718736589054
Public Art,-0.084059204816679334,-0.091125731979993838,0.11139809295884767,57,0.014755037863933337
Community Center,-0.088940902205627309,-0.087383885017118343,0.1286059723278575,57,0.01703427716600589
Art Gallery,-0.081544322840000683,-0.07378404864227471,0.11822530153984571,659,0.0046054038860064671
Library,-0.062208751651381802,-0.053377255259519807,0.13441619767958932,920,0.0044315708029014642
Theater,-0.061871295451227409,-0.046955270703630266,0.099984435009429787,384,0.0051023093331993659
Music Venue,-0.053993427642085645,-0.046459993555969657,0.10109239695299221,239,0.0065391235583130182
Performing Arts,-0.048343759531435701,-0.036544138530364249,0.11941671718646787,176,0.009001373740988616
University,-0.042048397583481778,-0.033044960889921517,0.11906193029077783,254,0.007470609933190331
Café,-0.041246335880539997,-0.031826311276560527,0.11782894266931004,953,0.0038168538450492873
Thrift / Vintage,-0.032836892097631326,-0.027354079497958515,0.12976902394940293,403,0.0064642555214120346
Pub,-0.041962411624714993,-0.025563820322129064,0.11888003954168222,490,0.0053704527611799328
Basketball Court,-0.027056797085181265,-0.024820398758038213,0.13491521980553131,44,0.020339234663785136
Community College,-0.022671995265100664,-0.021727956397467794,0.14212803538160559,92,0.014817872009339341
Museum,-0.030301786382152279,-0.02109035969648735,0.09427965512673657,125,0.0084326287103447806
Farmer's Market,-0.016523673641450368,-0.018507065708045525,0.11982249662443781,96,0.012229332351509683
City Hall,-0.025202610441452999,-0.012481913086162007,0.11709366652593109,36,0.01951561108765518
Grocery Store,-0.0075886533128424055,-0.0094956370726137426,0.13564652339742914,2952,0.0024966087642542462
Coffee Shop,-0.010781344602523613,-0.005426073170557778,0.11390792535712914,5713,0.0015070297646576295
Fast Food,-0.00020468463703765538,-0.0042344456982280031,0.13246836534662226,10304,0.001304996215339451
Diner,-0.0096769459180551798,-0.0029749937364719958,0.11524743588618537,655,0.0045030899447936175
Stadium,-0.0063127489353230204,-0.00056006030999912275,0.077611373880774451,51,0.010867766113930012
Bakery,0.0022775927869561341,0.0019835047357287133,0.1159134991603703,1373,0.0031282305123012627
Mall,-0.0044674581876204492,0.0042559200868917289,0.094293973739105849,334,0.0051595366858767202
Bookstore,0.0027783641151139515,0.0054718633932328417,0.10934155893668422,480,0.0049907365252002114
Gym / Fitness,0.0068103099954176377,0.0083410866705144401,0.12773135816261497,2618,0.0024963915790579974
Restaurant,0.014475621098487795,0.017544310660667653,0.12022446109619214,1151,0.0035436855462883427
Salon / Barbershop,0.036732032416703253,0.03382726267379247,0.11718668562546337,4454,0.0017559136906641463
Baseball,0.036319203198716149,0.037311503305233328,0.086647446564215538,40,0.013700164229032608
Beach,0.024237619447995185,0.043191532690870775,0.13876317981375985,37,0.022812526236653318
Business Services,0.041636396074401158,0.044230763146707,0.11711980951674288,538,0.0050493935336893133
Tanning Salon,0.059680710745759064,0.053714671101736257,0.1140182453322509,413,0.0056104710709856146
Auto Garage,0.064127411691897632,0.053779910147024872,0.11811365542287718,108,0.011365491792228139
Golf Course,0.063601645733310508,0.062205345864959821,0.09678491786700405,185,0.0071157686813969603
Farm,0.067545713930346432,0.064763107504996337,0.1068377144852871,38,0.017331365874165928
Winery,0.07938428272218237,0.066147302479553277,0.1002520427529537,99,0.010075709402370171
Motorsports Shop,0.066476959474615516,0.067258755152653379,0.093589427760367411,24,0.019103861944330603
