city,term,estimate,standard_error,n
Seattle,public_outdoor_share,-0.0882102807384324,0.00623538337063562,50184
Seattle,social_business_share,-0.167937196660469,0.00938813914481906,50184
Seattle,community_share,-0.10712111539567,0.00965723745340461,50184
Detroit,public_outdoor_share,0.0190129161558997,0.00768813399933758,72857
Detroit,social_business_share,-0.0435265071234097,0.00940318048667628,72857
Detroit,community_share,-0.0592586659091671,0.0119873662877836,72857
Washington DC,public_outdoor_share,-0.0360115736698789,0.00548420735403911,101284
Washington DC,social_business_share,-0.0625538089534136,0.00731658179335248,101284
Washington DC,community_share,-0.0716234435944021,0.00887179224477277,101284
Boston,public_outdoor_share,-0.0597799047814832,0.0055671816794011,40124
Boston,social_business_share,-0.133027030765892,0.00856946778462389,40124
Boston,community_share,-0.187898945498103,0.00817042675032637,40124
Chicago,public_outdoor_share,-0.0539023605345478,0.00395542080683808,190213
Chicago,social_business_share,-0.0489121078927458,0.00478663244149116,190213
Chicago,community_share,-0.0904079675202182,0.00588506308292164,190213
New York,public_outdoor_share,-0.0164333129743576,0.00591268224786224,158261
New York,social_business_share,-0.122765319844157,0.00806670662971228,158261
New York,community_share,-0.13389539751807,0.0100021669096537,158261
Dallas,public_outdoor_share,-0.0206135596037336,0.00404103172090169,169326
Dallas,social_business_share,-0.0282665418490648,0.00606870903844561,169326
Dallas,community_share,0.0350659499472796,0.00740252859505724,169326
Miami,public_outdoor_share,0.0196527738127828,0.00335082796945075,127343
Miami,social_business_share,0.0380790636168153,0.00431869770440679,127343
Miami,community_share,-0.00196136168205058,0.00598735733887542,127343
Los Angeles,public_outdoor_share,0.0200060966162047,0.00303489497175655,176903
Los Angeles,social_business_share,-0.0169407902460089,0.00494788588460939,176903
Los Angeles,community_share,-0.0141076605083623,0.00516482060620157,176903
Philadelphia,public_outdoor_share,-0.0235645871934984,0.00830956026800103,76921
Philadelphia,social_business_share,0.00833718709309169,0.0077463504732018,76921
Philadelphia,community_share,-0.150759713822486,0.0101036163265942,76921
San Francisco,public_outdoor_share,-0.0241461329406385,0.00393704514047896,56023
San Francisco,social_business_share,-0.130687537225375,0.00535556259993578,56023
San Francisco,community_share,-0.0730012664173654,0.00561602452805091,56023
